STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
48,TX,018,48018,State Senate District 18,43107318766.5000,1365378.8915400,29.05722519750,117138.79511200,736004.1346720,53.90475414790,53652605116.3000,80.34524823740,106002500207.000,40.66632266
48,TX,019,48019,State Senate District 19,92075017486.9000,2647516.6768500,16.50721843960,171197.00082800,1075661.5716600,40.62907633650,146200419756.0000,62.97862731210,315712041446.000,29.16424
48,TX,020,48020,State Senate District 20,9902847437.6600,881422.6849530,16.01773625220,56144.25084820,352764.4340440,40.02216417460,18524737320.5000,53.45742434200,41328538236.200,23.96128162
48,TX,021,48021,State Senate District 21,44820194203.4000,1952472.8486100,14.77451470830,119443.38812300,750484.3073870,38.43763092130,77376622618.6000,57.92472285110,173952848793.000,25.7657144
48,TX,022,48022,State Senate District 22,18793509419.0000,775915.6206050,39.22729784180,77344.45614960,485969.1399900,62.63169951540,23598837916.1000,79.63743590180,32875227698.200,57.16617263
48,TX,023,48023,State Senate District 23,982162183.9450,218447.9219930,25.86407018630,17681.40823170,111095.4705730,50.85673031790,1206471907.4700,81.40779556190,2062732946.210,47.61460691
48,TX,024,48024,State Senate District 24,38754745969.5000,1562283.0763000,19.95330932630,111067.67846000,697858.2159460,44.66912728770,63823210653.0000,60.72202506420,95498878610.600,40.58136235
48,TX,025,48025,State Senate District 25,6251600941.4700,526725.3899730,28.31602182520,44608.83393440,280285.3332000,53.21280092730,8492264789.4000,73.61523806080,11469767771.300,54.50503503
48,TX,026,48026,State Senate District 26,479347232.9850,204562.3679970,14.39488624210,12352.37192010,77612.1762009,37.94059335590,790085035.2490,60.67033440700,1260057103.760,38.04170712
48,TX,027,48027,State Senate District 27,14346068289.0000,766205.8865140,30.70799226760,67575.87751120,424591.4020610,55.41479249040,19185983972.7000,74.77369057230,36397784348.500,39.41467467
48,TX,028,48028,State Senate District 28,126138788983.0000,2685278.3138600,21.98262469250,200377.78689000,1259009.7030300,46.88563179960,183216434909.0000,68.84687448790,242965992930.000,51.91623217
48,TX,029,48029,State Senate District 29,40197112666.5000,1209781.9369300,34.51359230250,113115.64509600,710725.9589540,58.74827001940,51218036847.8000,78.48233774740,131682786378.000,30.52571545
48,TX,030,48030,State Senate District 30,31828776300.0000,1337049.1523900,22.37353939800,100654.96867600,632433.2860860,47.30067589180,44813994606.1000,71.02418916180,70720460287.300,45.00646089
48,TX,031,48031,State Senate District 31,94852794744.8000,2096903.0870800,27.10833915660,173760.20200900,1091766.6260600,52.06566926180,155631877130.0000,60.94689371740,330319338015.000,28.71548342
49,UT,001,49001,State Senate District 1,409706466.0600,116988.9632630,37.61772529080,11419.88304390,71753.1807438,61.33329054510,521160437.3970,78.61426859380,810022398.551,50.57964654
